Date,half,Team,Opponent,timeRemaining,playerID,makeMiss,xint,yint,distance,x,y
1/9/2016,1,Dartmouth,Harvard,1905,22,1,10,1,10,9.59129952,0.730139859
1/9/2016,1,Dartmouth,Harvard,1830,14,0,0,3,3,-0.272229143,2.743178402
1/9/2016,1,Dartmouth,Harvard,1823,3,0,11,12,16.3,10.66876081,12.07140533
1/9/2016,1,Dartmouth,Harvard,1742,12,2,-2,5,5.4,-1.899290688,5.014052871
1/9/2016,1,Dartmouth,Harvard,1713,14,0,3,0,3,3.23802464,-0.211208996
1/9/2016,1,Dartmouth,Harvard,1630,3,1,-2,1,2.2,-1.890732623,0.54585028
1/9/2016,1,Dartmouth,Harvard,1452,22,1,0,0,0,0.292488937,0.059739414
1/9/2016,1,Dartmouth,Harvard,1440,22,1,0,0,0,-0.05736074,-0.330187653
1/9/2016,1,Dartmouth,Harvard,1355,22,1,-9,20,21.9,-9.065356874,19.65066275
1/9/2016,1,Dartmouth,Harvard,1316,3,0,11,19,22,11.4437944,19.12631547
1/9/2016,1,Dartmouth,Harvard,1313,12,1,1,2,2.2,1.215859792,2.402929664
1/9/2016,1,Dartmouth,Harvard,1150,12,0,1,6,6.1,1.295240995,6.229709212
1/9/2016,1,Dartmouth,Harvard,1115,12,1,15,15,21.2,15.12484093,14.60581437
1/9/2016,1,Dartmouth,Harvard,1035,12,1,4,10,10.8,3.845412212,10.0468364
1/9/2016,1,Dartmouth,Harvard,1002,25,1,0,0,0,0.32807148,0.260805486
1/9/2016,1,Dartmouth,Harvard,923,15,0,-15,13,19.8,-14.6094606,13.13752483
1/9/2016,1,Dartmouth,Harvard,854,1,0,2,7,7.3,2.127907621,6.974710088
1/9/2016,1,Dartmouth,Harvard,826,25,0,-19,11,22,-18.97091283,11.4278505
1/9/2016,1,Dartmouth,Harvard,751,22,0,0,4,4,-0.161642148,4.374230061
1/9/2016,1,Dartmouth,Harvard,750,0,1,-2,1,2.2,-1.657337512,0.915545802
1/9/2016,1,Dartmouth,Harvard,658,15,0,22,1,22,22.07369077,1.054347809
1/9/2016,1,Dartmouth,Harvard,625,22,1,-17,16,23.3,-17.27876823,16.27900679
1/9/2016,1,Dartmouth,Harvard,540,3,0,4,6,7.2,3.674106723,6.443483672
1/9/2016,1,Dartmouth,Harvard,535,15,2,2,3,3.6,1.574654841,2.590324435
1/9/2016,1,Dartmouth,Harvard,438,22,0,-6,22,22.8,-6.332971811,22.03760372
1/9/2016,1,Dartmouth,Harvard,404,22,1,21,6,21.8,21.27145566,5.641358791
1/9/2016,1,Dartmouth,Harvard,321,12,0,-3,3,4.2,-3.194970276,2.651658849
1/9/2016,1,Dartmouth,Harvard,246,20,1,-6,14,15.2,-6.130195014,14.10955979
1/9/2016,1,Dartmouth,Harvard,157,14,1,3,0,3,3.257750135,0.280888714
1/9/2016,1,Dartmouth,Harvard,124,14,0,19,0,19,19.35495099,-0.204968499
1/9/2016,1,Dartmouth,Harvard,53,12,0,3,2,3.6,2.867636516,2.361843978
1/9/2016,1,Dartmouth,Harvard,8,15,0,-16,3,16.3,-16.48656571,3.079248799
1/9/2016,2,Dartmouth,Harvard,1932,14,0,-14,9,16.6,-13.7073482,8.729927235
1/9/2016,2,Dartmouth,Harvard,1840,12,0,-4,1,4.1,-3.965837906,1.247945874
1/9/2016,2,Dartmouth,Harvard,1807,12,1,-6,15,16.2,-6.154176449,14.97221863
1/9/2016,2,Dartmouth,Harvard,1724,20,0,6,4,7.2,5.978937334,4.135384718
1/9/2016,2,Dartmouth,Harvard,1654,14,0,5,16,16.8,4.72655466,15.84040614
1/9/2016,2,Dartmouth,Harvard,1625,22,0,2,0,2,2.409340849,-0.203163877
1/9/2016,2,Dartmouth,Harvard,1555,22,1,-17,13,21.4,-16.5353426,12.61131224
1/9/2016,2,Dartmouth,Harvard,1511,1,2,-3,2,3.6,-3.251973956,1.704527693
1/9/2016,2,Dartmouth,Harvard,1447,22,0,10,20,22.4,10.2693481,20.11828299
