Date,half,Team,Opponent,timeRemaining,playerID,makeMiss,xint,yint,distance,x,y
1/7/2017,1,Princeton,Penn,1941,3,1,-3,1,3.16227766,-2.58322511,0.792154549
1/7/2017,1,Princeton,Penn,1915,31,0,4,1,4.123105626,3.586293587,1.353244163
1/7/2017,1,Princeton,Penn,1915,12,1,0,0,0,0.291420758,-0.461544602
1/7/2017,1,Penn,Princeton,1834,5,0,-15,19,24.20743687,-14.77083808,19.32515436
1/7/2017,1,Princeton,Penn,1815,25,0,5,2,5.385164807,4.943280956,2.360049433
1/7/2017,1,Princeton,Penn,1815,31,2,-2,0,2,-1.621780836,0.310148293
1/7/2017,1,Penn,Princeton,1800,4,0,4,1,4.123105626,4.281030822,1.26811877
1/7/2017,1,Penn,Princeton,1800,25,2,-2,0,2,-2.495863322,0.294621229
1/7/2017,1,Princeton,Penn,1740,3,0,9,4,9.848857802,8.819388374,4.028572931
1/7/2017,1,Penn,Princeton,1725,25,0,4,2,4.472135955,4.134483681,2.036132274
1/7/2017,1,Penn,Princeton,1630,5,0,4,22,22.36067977,3.577586519,21.83790838
1/7/2017,1,Princeton,Penn,1615,25,0,-19,10,21.47091055,-19.23407613,10.44069103
1/7/2017,1,Princeton,Penn,1615,12,0,0,2,2,0.267418728,1.558478489
1/7/2017,1,Penn,Princeton,1555,4,1,-3,0,3,-2.542117701,-0.28031932
1/7/2017,1,Penn,Princeton,1524,25,2,6,2,6.32455532,5.689480009,2.09006358
1/7/2017,1,Princeton,Penn,1500,3,1,1,3,3.16227766,1.107696378,3.399005746
1/7/2017,1,Penn,Princeton,1441,0,1,0,5,5,0.06125138,4.997760781
1/7/2017,1,Princeton,Penn,1414,35,0,-22,2,22.09072203,-21.65033841,1.984632607
1/7/2017,1,Penn,Princeton,1404,10,0,-22,3,22.20360331,-21.97441809,2.694285024
1/7/2017,1,Princeton,Penn,1315,3,0,12,24,26.83281573,11.78846555,24.23761213
1/7/2017,1,Princeton,Penn,1221,5,1,-4,2,4.472135955,-3.828749032,1.533978892
1/7/2017,1,Penn,Princeton,1208,5,0,-6,23,23.76972865,-6.365753684,22.74633466
1/7/2017,1,Princeton,Penn,1144,3,0,19,13,23.02172887,18.67618027,12.77103472
1/7/2017,1,Penn,Princeton,1130,25,0,3,0,3,3.029165517,0.390312135
1/7/2017,1,Princeton,Penn,1117,0,1,-19,11,21.9544984,-19.31659579,11.39195289
1/7/2017,1,Princeton,Penn,1051,0,0,-12,22,25.05992817,-11.67989126,22.20508016
1/7/2017,1,Penn,Princeton,1043,4,1,0,3,3,0.273324534,2.753376921
1/7/2017,1,Princeton,Penn,1013,12,0,-9,0,9,-8.560515631,0.479437402
1/7/2017,1,Penn,Princeton,945,25,0,0,9,9,0.198039574,8.741330556
1/7/2017,1,Penn,Princeton,945,25,1,-3,0,3,-3.413129343,-0.30815356
1/7/2017,1,Princeton,Penn,915,3,2,10,11,14.86606875,10.25031456,11.08305003
1/7/2017,1,Princeton,Penn,830,10,0,-5,22,22.56102835,-4.599736826,21.94321474
1/7/2017,1,Penn,Princeton,812,3,0,-15,16,21.9317122,-14.71449608,16.07439007
1/7/2017,1,Princeton,Penn,755,10,0,-2,0,2,-1.549176366,0.285749753
1/7/2017,1,Princeton,Penn,702,5,2,3,0,3,3.356959382,-0.263156797
1/7/2017,1,Penn,Princeton,555,20,0,-4,3,5,-4.405572326,3.375520349
1/7/2017,1,Princeton,Penn,528,35,1,11,1,11.04536102,10.81970054,1.342264
1/7/2017,1,Penn,Princeton,458,24,0,-17,19,25.49509757,-17.17127046,18.66799978
1/7/2017,1,Penn,Princeton,440,5,1,4,3,5,4.357760042,2.807574667
1/7/2017,1,Princeton,Penn,419,31,2,-3,2,3.605551275,-3.462462687,1.699705663
1/7/2017,1,Penn,Princeton,350,0,1,-4,6,7.211102551,-3.823113154,5.780859877
1/7/2017,1,Princeton,Penn,320,10,0,9,22,23.76972865,9.368192952,22.19580109
1/7/2017,1,Princeton,Penn,320,12,2,-1,2,2.236067977,-0.883710323,1.990354162
1/7/2017,1,Penn,Princeton,311,0,0,-6,3,6.708203932,-6.25420336,2.771167588
1/7/2017,1,Princeton,Penn,248,5,1,-2,22,22.09072203,-1.688074873,22.33398844
1/7/2017,1,Penn,Princeton,230,4,1,-4,2,4.472135955,-3.801457606,2.495012829
1/7/2017,1,Princeton,Penn,204,12,0,-14,17,22.02271555,-14.08811164,17.39734688
1/7/2017,1,Penn,Princeton,142,0,0,-4,0,4,-4.307690127,0.003553309
1/7/2017,1,Penn,Princeton,130,24,2,4,4,5.656854249,3.799562087,3.900817215
1/7/2017,1,Princeton,Penn,101,10,1,-4,1,4.123105626,-4.005342087,1.328173183
1/7/2017,1,Penn,Princeton,47,4,0,-2,5,5.385164807,-1.596230868,4.764086265
1/7/2017,1,Princeton,Penn,15,10,1,-4,2,4.472135955,-4.495061315,1.958800118
1/7/2017,1,Penn,Princeton,2,5,0,8,20,21.54065923,8.029119303,20.03336973
1/7/2017,2,Princeton,Penn,1940,3,0,20,17,26.2488095,20.09057386,17.48458223
1/7/2017,2,Princeton,Penn,1940,31,0,-2,0,2,-2.153335047,0.262722193
1/7/2017,2,Penn,Princeton,1930,24,0,-7,0,7,-6.602278971,0.18533916
1/7/2017,2,Penn,Princeton,1918,24,2,-2,4,4.472135955,-1.961041563,3.872783544
1/7/2017,2,Princeton,Penn,1850,3,0,-1,3,3.16227766,-1.222983994,3.244860863
1/7/2017,2,Princeton,Penn,1802,12,0,-1,5,5.099019514,-1.064930193,5.375740231
1/7/2017,2,Princeton,Penn,1800,12,0,-2,0,2,-1.889391892,0.418307154
1/7/2017,2,Princeton,Penn,1758,12,2,2,1,2.236067977,2.156423709,0.842411991
1/7/2017,2,Penn,Princeton,1745,21,0,8,22,23.40939982,7.674554134,22.08956281
1/7/2017,2,Princeton,Penn,1719,3,1,2,19,19.10497317,2.269639572,19.41133382
1/7/2017,2,Penn,Princeton,1704,25,0,3,0,3,3.497923205,-0.062312622
1/7/2017,2,Princeton,Penn,1641,31,1,-4,1,4.123105626,-3.822423362,0.747476566
1/7/2017,2,Penn,Princeton,1630,4,1,2,3,3.605551275,1.765762523,2.579543714
1/7/2017,2,Princeton,Penn,1600,3,0,18,18,25.45584412,18.33087583,17.84683464
1/7/2017,2,Penn,Princeton,1550,21,1,-12,19,22.47220505,-11.699624,18.7654549
1/7/2017,2,Princeton,Penn,1530,25,0,-9,0,9,-9.042258835,0.499529225
1/7/2017,2,Penn,Princeton,1515,4,1,2,0,2,1.503342567,0.486923649
1/7/2017,2,Princeton,Penn,1429,5,1,-4,0,4,-3.672422658,-0.352272401
1/7/2017,2,Penn,Princeton,1411,5,1,-5,22,22.56102835,-5.245401939,21.93323534
1/7/2017,2,Princeton,Penn,1351,10,0,9,22,23.76972865,9.231956037,22.14350657
1/7/2017,2,Penn,Princeton,1318,21,2,-3,4,5,-2.522353497,4.022046833
1/7/2017,2,Princeton,Penn,1305,3,0,-22,5,22.56102835,-22.35899084,5.192497894
1/7/2017,2,Princeton,Penn,1240,5,0,17,16,23.34523506,16.60369031,15.86116928
1/7/2017,2,Penn,Princeton,1230,21,1,-10,22,24.16609195,-9.896068591,22.26196137
1/7/2017,2,Princeton,Penn,1155,10,1,11,6,12.52996409,11.01127295,5.768985349
1/7/2017,2,Penn,Princeton,1140,4,1,22,9,23.76972865,22.32799262,9.234942395
1/7/2017,2,Princeton,Penn,1123,35,0,2,0,2,1.88249371,-0.196569641
1/7/2017,2,Penn,Princeton,1113,4,0,-4,0,4,-3.981114588,0.323632867
1/7/2017,2,Princeton,Penn,1100,3,0,-21,9,22.84731932,-21.29920195,8.924137745
1/7/2017,2,Penn,Princeton,1042,4,0,3,0,3,2.852040603,-0.107445397
1/7/2017,2,Penn,Princeton,1000,4,0,18,14,22.8035085,17.70932708,14.04600436
1/7/2017,2,Princeton,Penn,930,10,0,-2,7,7.280109889,-1.643171961,6.874211429
1/7/2017,2,Penn,Princeton,920,25,2,2,6,6.32455532,2.071845443,6.142089597
1/7/2017,2,Princeton,Penn,858,25,2,-3,2,3.605551275,-3.089321635,1.882079198
