Date,half,Team,Opponent,timeRemaining,playerID,shotType,makeMiss,xint,yint,distanceint,x,y,distance,ck
1/6/2018,1,Penn,Princeton,1940,21,,0,4,4,5.7,4.114585238,4.414236197,6,
1/6/2018,1,Penn,Princeton,1935,0,,0,4,2,4.5,4.167712083,2.024697987,4.6,
1/6/2018,1,Princeton,Penn,1910,33,,0,-8,22,23.4,-7.906535659,22.3426429,23.7,
1/6/2018,1,Penn,Princeton,1949,4,,0,0,9,9,-0.250001474,8.630270638,8.6,
1/6/2018,1,Princeton,Penn,1840,5,0,0,-15,16,21.9,-14.8821942,15.76112269,21.7,
1/6/2018,1,Penn,Princeton,1808,2,,0,3,24,24.2,3.085789685,23.86876751,24.1,
1/6/2018,1,Princeton,Penn,1738,22,,0,15,17,22.7,14.62420508,17.21102766,22.6,
1/6/2018,1,Penn,Princeton,1718,2,,2,5,5,7.1,4.964096347,4.630369923,6.8,
1/6/2018,1,Princeton,Penn,1708,33,,1,21,7,22.1,20.51743972,6.708171026,21.6,
1/6/2018,1,Penn,Princeton,1650,25,,0,-4,0,4,-3.857505424,0.017467976,3.9,
1/6/2018,1,Princeton,Penn,1643,12,,1,-2,2,2.8,-2.41498188,2.233949648,3.3,
1/6/2018,1,Princeton,Penn,1609,5,,0,-3,3,4.2,-2.719089394,3.435589892,4.4,
1/6/2018,1,Penn,Princeton,1604,21,,1,-4,0,4,-4.152316678,-0.406026123,4.2,
1/6/2018,1,Princeton,Penn,1547,12,,0,4,1,4.1,3.505444785,0.716197501,3.6,
1/6/2018,1,Penn,Princeton,1533,4,,1,-22,5,22.6,-22.03458667,4.946197746,22.6,
1/6/2018,1,Princeton,Penn,1505,33,,1,3,1,3.2,2.949255068,1.190085575,3.2,
1/6/2018,1,Penn,Princeton,1446,21,,1,-2,23,23.1,-2.476496399,23.30781938,23.4,
1/6/2018,1,Princeton,Penn,1428,3,,0,-18,15,23.4,-18.01674145,14.53168931,23.1,
1/6/2018,1,Princeton,Penn,1345,34,,0,0,4,4,-0.007173899,3.880683761,3.9,
1/6/2018,1,Penn,Princeton,1322,4,,1,-4,2,4.5,-3.763002677,1.743435907,4.1,
1/6/2018,1,Princeton,Penn,1216,15,,2,3,2,3.6,3.034540331,1.567216424,3.4,
1/6/2018,1,Penn,Princeton,1158,25,,0,19,10,21.5,18.93761906,9.590372716,21.2,
1/6/2018,1,Princeton,Penn,1150,3,,1,4,0,4,4.322211286,-0.2608175,4.3,
1/6/2018,1,Penn,Princeton,1131,21,,1,0,6,6,-0.233489022,6.274829485,6.3,
1/6/2018,1,Penn,Princeton,1103,25,,1,-3,1,3.2,-2.920808268,1.369026695,3.2,
1/6/2018,1,Princeton,Penn,1040,3,,0,-1,14,14,-1.3246876,13.99356558,14.1,
